GEO_ID,NAME,S1701_C02_001E
38001,"Adams County, North Dakota",191
38003,"Barnes County, North Dakota",1080
38005,"Benson County, North Dakota",2376
38007,"Billings County, North Dakota",81
38009,"Bottineau County, North Dakota",634
38011,"Bowman County, North Dakota",242
38013,"Burke County, North Dakota",145
38015,"Burleigh County, North Dakota",7534
38017,"Cass County, North Dakota",18179
38019,"Cavalier County, North Dakota",373
38021,"Dickey County, North Dakota",252
38023,"Divide County, North Dakota",311
38025,"Dunn County, North Dakota",381
38027,"Eddy County, North Dakota",306
38029,"Emmons County, North Dakota",337
38031,"Foster County, North Dakota",231
38033,"Golden Valley County, North Dakota",119
38035,"Grand Forks County, North Dakota",11369
38037,"Grant County, North Dakota",274
38039,"Griggs County, North Dakota",175
38041,"Hettinger County, North Dakota",228
38043,"Kidder County, North Dakota",246
38045,"LaMoure County, North Dakota",466
38047,"Logan County, North Dakota",139
38049,"McHenry County, North Dakota",504
38051,"McIntosh County, North Dakota",206
38053,"McKenzie County, North Dakota",1681
38055,"McLean County, North Dakota",772
38057,"Mercer County, North Dakota",589
38059,"Morton County, North Dakota",2426
38061,"Mountrail County, North Dakota",1016
38063,"Nelson County, North Dakota",299
38065,"Oliver County, North Dakota",165
38067,"Pembina County, North Dakota",475
38069,"Pierce County, North Dakota",692
38071,"Ramsey County, North Dakota",1290
38073,"Ransom County, North Dakota",304
38075,"Renville County, North Dakota",114
38077,"Richland County, North Dakota",1423
38079,"Rolette County, North Dakota",4204
38081,"Sargent County, North Dakota",146
38083,"Sheridan County, North Dakota",195
38085,"Sioux County, North Dakota",1588
38087,"Slope County, North Dakota",39
38089,"Stark County, North Dakota",2659
38091,"Steele County, North Dakota",114
38093,"Stutsman County, North Dakota",2301
38095,"Towner County, North Dakota",271
38097,"Traill County, North Dakota",504
38099,"Walsh County, North Dakota",1012
38101,"Ward County, North Dakota",6065
38103,"Wells County, North Dakota",264
38105,"Williams County, North Dakota",2283