GEO_ID,NAME,S1701_C01_001E,,S1701_C02_001E
,,,,
38001,"Adams County, North Dakota",2291,,191
38003,"Barnes County, North Dakota",10288,,1080
38005,"Benson County, North Dakota",6836,,2376
38007,"Billings County, North Dakota",946,,81
38009,"Bottineau County, North Dakota",6256,,634
38011,"Bowman County, North Dakota",3121,,242
38013,"Burke County, North Dakota",2200,,145
38015,"Burleigh County, North Dakota",90461,,7534
38017,"Cass County, North Dakota",169432,,18179
38019,"Cavalier County, North Dakota",3724,,373
38021,"Dickey County, North Dakota",4726,,252
38023,"Divide County, North Dakota",2278,,311
38025,"Dunn County, North Dakota",4286,,381
38027,"Eddy County, North Dakota",2235,,306
38029,"Emmons County, North Dakota",3298,,337
38031,"Foster County, North Dakota",3204,,231
38033,"Golden Valley County, North Dakota",1825,,119
38035,"Grand Forks County, North Dakota",65981,,11369
38037,"Grant County, North Dakota",2323,,274
38039,"Griggs County, North Dakota",2168,,175
38041,"Hettinger County, North Dakota",2408,,228
38043,"Kidder County, North Dakota",2460,,246
38045,"LaMoure County, North Dakota",4005,,466
38047,"Logan County, North Dakota",1850,,139
38049,"McHenry County, North Dakota",5841,,504
38051,"McIntosh County, North Dakota",2542,,206
38053,"McKenzie County, North Dakota",12431,,1681
38055,"McLean County, North Dakota",9440,,772
38057,"Mercer County, North Dakota",8325,,589
38059,"Morton County, North Dakota",29895,,2426
38061,"Mountrail County, North Dakota",10088,,1016
38063,"Nelson County, North Dakota",2841,,299
38065,"Oliver County, North Dakota",1831,,165
38067,"Pembina County, North Dakota",6822,,475
38069,"Pierce County, North Dakota",4044,,692
38071,"Ramsey County, North Dakota",11108,,1290
38073,"Ransom County, North Dakota",5197,,304
38075,"Renville County, North Dakota",2437,,114
38077,"Richland County, North Dakota",15122,,1423
38079,"Rolette County, North Dakota",14362,,4204
38081,"Sargent County, North Dakota",3811,,146
38083,"Sheridan County, North Dakota",1389,,195
38085,"Sioux County, North Dakota",4352,,1588
38087,"Slope County, North Dakota",704,,39
38089,"Stark County, North Dakota",30166,,2659
38091,"Steele County, North Dakota",1906,,114
38093,"Stutsman County, North Dakota",19461,,2301
38095,"Towner County, North Dakota",2215,,271
38097,"Traill County, North Dakota",7613,,504
38099,"Walsh County, North Dakota",10549,,1012
38101,"Ward County, North Dakota",66989,,6065
38103,"Wells County, North Dakota",3980,,264
38105,"Williams County, North Dakota",33259,,2283